l’après-midi;the afternoon
mon copain;my boyfriend
un fast-food;a fast-food restaurant
un jour;a day
mon mari;my husband
le matin;the morning
un parc;a park
le soir;the evening
ma copine;my girlfriend
ma femme;my wife
la journée;the day
aimer mieux;to like better, to prefer
aller au parc;to go to the park
déjeuner;to have lunch, to eat lunch
demander;to ask, to ask for
je dors;I am sleeping, I sleep
manger dans un fast-food;to eat in a fast-food restaurant
rentrer;to return, to go back (home)
après;afterwards
l’après-midi;in the afternoon, afternoons
de... heures à... heures;from... o’clock to... o’clock
ensemble;together
le matin;in the morning, mornings
le soir;in the evening, evenings
tous les jours;every day
toute la journée;all day
à quelle heure;at what time
avec qui;with whom
comment;how
où;where
pourquoi;why
parce que;because
quand;when
quel jour;what day, which day, on what day, on which day
quels jours;what days, which days, on what days, on which days
que;what
qu’est-ce que;what (in questions)
Qu’est-ce que c’est?;What is it? What is this? What is that?
qui;who, whom
Qui est-ce?;Who is he? Who is she? Who is it? Who is this? Who is that?
avec elle;with her
avec elles;with them (females)
avec lui;with him
avec eux;with them (males or mixed)
en général;in general
par exemple;for example
riche;rich
sauf;except
tout;all, whole
toute;all, whole
tous;all, whole
toutes;all, whole
typique;typical