Comptez d un à dix s’il vous plaît;Count from one to ten please (formal)
un;one
deux;two
trois;three
quatre;four
cinq;five
six;six
sept;seven
huit;eight
neuf;nine
dix;ten
onze;eleven
douze;twelve
treize;thirteen
quatorze;fourteen
quinze;fifteen
seize;sixteen
dix-sept;seventeen
dix-huit;eighteen
dix-neuf;nineteen
vingt;twenty
vingt et un;twenty-one
vingt-deux;twenty-two
vingt-trois;twenty-three
vingt-quatre;twenty-four
vingt-cinq;twenty-five
vingt-six;twenty-six
vingt-sept;twenty-seven
vingt-huit;twenty-eight
vingt-neuf;twenty-nine
trente;thirty
Combien font deux et deux?;How much is two plus two?
Deux et deux font quatre;Two plus two equals four
Combien font cinq moins deux?;How much is five minus two?
Cinq moins deux font trois;Five minus two equals three
un nombre;a number
les jours de la semaine;the days of the week
aujourd’hui;today
C’est quel jour, aujourd’hui?;What day is today?
C’est lundi;It’s Monday
lundi;Monday
mardi;Tuesday
mercredi;Wednesday
jeudi;Thursday
vendredi;Friday
samedi;Saturday
dimanche;Sunday
Tu es?;Are you?
Je suis;I am
Je ne suis pas;I am not
en cours;in class
à la maison;at home
dans un autre cours;in another class
le cours de français;French class
Tu travailles?;Do you work?
Je travaille;I work
Je ne travaille pas;I don’t work
Quels jours?;What days?
le lundi;on Mondays
le lundi matin;Monday mornings
du lundi au vendredi;from Monday to Friday
le matin;in the morning
l’après-midi;in the afternoon
le soir;in the evening
la semaine;the week
tous les jours;every day
le week-end;weekends
ce semestre;this semester
avant;before
après;after
aussi;also, too